domain,sourceName,count,groupby_label
ibtimes.com,International Business Times,47617,134
ibtimes.com,International Business Times UK,35234,135
icnetwork.co.uk,Ayrshire Post,474,136
icnetwork.co.uk,Cheshire Online,54602,137
icnetwork.co.uk,Coventry Telegraph,11642,138
icnetwork.co.uk,IC Newcastle,31578,139
icnetwork.co.uk,Liverpool Daily Post,39074,140
icnetwork.co.uk,Liverpool Echo,11922,141
icnetwork.co.uk,Maidenhead Express,514,142
icnetwork.co.uk,Ormskirk Advertiser,2087,143
icnetwork.co.uk,Paisley Daily Express,410,144
icnetwork.co.uk,South London Press,7853,145
icnetwork.co.uk,The Huddersfield Daily Examiner,4589,146
icnetwork.co.uk,The Reading Chronicle,862,147
icnetwork.co.uk,Western Mail,26647,148
icnetwork.co.uk,Wharf,1004,149
journallive.co.uk,IC Newcastle,525,150
journallive.co.uk,Journal Live,19947,151
kenilworthweeklynews.co.uk,Kenilworth Today,7644,152
kenilworthweeklynews.co.uk,Kenilworth Weekly News,956,152
lisburntoday.co.uk,Lisburn Today,9288,153
lisburntoday.co.uk,Ulster Star,499,153
lurganmail.co.uk,Lurgan Mail,3720,154
lurganmail.co.uk,Lurgan Today,2159,154
lutontoday.co.uk,Herald and Post,26643,155
lutontoday.co.uk,Luton News Herald and Post,1526,155
manchestereveningnews.co.uk,Manchester Evening News,17723,156
manchestereveningnews.co.uk,Manchester Online,4973,156
menmedia.co.uk,Macclesfield Express,498,157
menmedia.co.uk,Manchester Evening News,389,158
menmedia.co.uk,Manchester Online,12576,158
menmedia.co.uk,Rochdale Observer,502,159
menmedia.co.uk,Salford Advertiser,348,160
menmedia.co.uk,South Manchester Reporter,262,161
menmedia.co.uk,Stockport Express,551,162
menmedia.co.uk,Wilmslow Express,111,163
metro.co.uk,Metro,14088,164
metro.co.uk,Metro - London,29047,165
morningstaronline.co.uk,Morning Star,8475,166
morningstaronline.co.uk,Morning Star Online,1368,166
newsandstar.co.uk,News & Star,18128,167
newsandstar.co.uk,The Cumberland News,14434,167
newsshopper.co.uk,Local London,1,168
newsshopper.co.uk,News Shopper,10177,168
northamptonchron.co.uk,Northampton Chronicle,3387,169
northamptonchron.co.uk,Northampton Chronicle & Echo,886,169
northamptonchron.co.uk,Northampton Chronicle and Echo,5714,169
northantset.co.uk,Northamptonshire Evening Telegraph,2059,170
northantset.co.uk,Northants Evening Telegraph,1280,170
nwemail.co.uk,North-West Evening Mail,9201,171
nwemail.co.uk,The Cumberland News,1,171
nwipp-newspapers.com,Donegal News,2125,172
nwipp-newspapers.com,Starbane Chronicle,611,172
nwipp-newspapers.com,Ulster Herald,622,172
opendemocracy.net,Open Democracy,1023,173
opendemocracy.net,Open Democracy Blog,8,173
orange.co.uk,Ananova,24236,174
orange.co.uk,Ananova - Orange News,7996,174
osadvertiser.co.uk,Ormskirk & Skelmersdale Advertiser,4602,175
osadvertiser.co.uk,Ormskirk Advertiser,795,175
redhillandreigatelife.co.uk,Bradford Telegraph & Argus,79,176
redhillandreigatelife.co.uk,Redhill and Reigate Life,3127,176
retfordtoday.co.uk,Retford Guardian,742,177
retfordtoday.co.uk,Retford Trader & Guardian,3667,177
rutland-times.co.uk,Rutland Times,7906,178
rutland-times.co.uk,Rutland Times (dup?),282,178
scotsman.com,Scotsman,46669,179
scotsman.com,The Scotsman,10849,179
sloughobserver.co.uk,Slough & South Bucks Observer,2508,180
sloughobserver.co.uk,Slough & Windsor Observer,568,180
suttonguardian.co.uk,Local London,4,181
suttonguardian.co.uk,Sutton Guardian,7491,181
telegraph.co.uk,London Daily Telegraph,11045,182
telegraph.co.uk,Telegraph UK,3929,182
telegraph.co.uk,The Daily Telegraph,95990,182
theboltonnews.co.uk,Bolton News,67925,183
theboltonnews.co.uk,Bury Times,8,183
theguardian.com,The Guardian,3977,123
theguardian.com,The Guardian Europe,14421,124
thisislincolnshire.co.uk,Farmers Guardian,1,184
thisislincolnshire.co.uk,Lincolnshire Echo,11866,184
times-series.co.uk,Barnet Times,33412,185
times-series.co.uk,Edgware & Mill Hill Times,13005,186
times-series.co.uk,"Hendon & Finchley, Barnet & Potters bar, and Edgeware & Mills hill Times",3180,187
