,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
Colchester Daily Gazette,0.0,0.0,0.0,0.0,0.0,6529.0,7411.0,0.0,0.0,2538.0,3920.0,7118.0,642.0
Cornish Guardian,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,37.0,7125.0,9130.0,676.0,0.0
Country Life,0.0,0.0,0.0,1.0,228.0,375.0,806.0,932.0,403.0,80.0,0.0,0.0,0.0
County Times,0.0,0.0,0.0,0.0,530.0,440.0,203.0,381.0,17.0,1.0,18.0,0.0,0.0
Coventry Telegraph,0.0,0.0,0.0,0.0,7855.0,6759.0,2767.0,0.0,0.0,6176.0,649.0,0.0,0.0
Crawley Observer,0.0,0.0,0.0,0.0,1803.0,3310.0,3326.0,1506.0,2299.0,548.0,3018.0,0.0,0.0
Croydon Guardian,0.0,0.0,0.0,0.0,1971.0,1676.0,2001.0,5809.0,3989.0,1146.0,1737.0,992.0,0.0
Cumberland & Westmorland Herald,0.0,0.0,0.0,0.0,243.0,299.0,354.0,380.0,400.0,354.0,104.0,0.0,0.0
Daily Express,0.0,0.0,0.0,0.0,10271.0,2027.0,3152.0,16.0,13.0,4093.0,84.0,0.0,0.0
Daily Post,0.0,0.0,0.0,0.0,5776.0,21079.0,22649.0,0.0,0.0,8679.0,1658.0,6100.0,299.0
Daily Record,0.0,0.0,0.0,0.0,4138.0,16098.0,19235.0,0.0,1.0,12058.0,0.0,0.0,0.0
Darlington & Stockton Times,0.0,0.0,0.0,0.0,1261.0,4408.0,3683.0,0.0,1.0,1472.0,8176.0,3179.0,0.0
Derby Evening Telegraph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8588.0,13018.0,0.0,0.0
Derbyshire Times,0.0,0.0,0.0,0.0,0.0,1252.0,1895.0,0.0,0.0,1453.0,0.0,0.0,0.0
Derry Journal,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,1905.0,775.0,0.0,0.0
Diss Mercury,0.0,0.0,0.0,0.0,114.0,979.0,1225.0,0.0,0.0,848.0,519.0,404.0,0.0
Doncaster Free Press,0.0,0.0,0.0,11.0,3660.0,1734.0,1693.0,0.0,1.0,2255.0,0.0,0.0,0.0
Donegal News,0.0,0.0,0.0,0.0,2426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Driffield Times & Post,0.0,0.0,0.0,1.0,11.0,2317.0,3106.0,0.0,1.0,258.0,743.0,0.0,0.0
Dromore Leader,0.0,0.0,0.0,4.0,411.0,607.0,511.0,0.0,0.0,1.0,166.0,0.0,0.0
Dunmow Broadcast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,521.0,409.0,0.0
EUbusiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0,2623.0,1740.0,0.0
Ealing Times,0.0,0.0,0.0,0.0,1717.0,1717.0,401.0,12.0,40.0,132.0,162.0,158.0,0.0
East Anglian Daily Times,0.0,0.0,0.0,0.0,4748.0,7983.0,5847.0,0.0,0.0,0.0,0.0,0.0,0.0
East Lothian Courier,0.0,0.0,0.0,0.0,859.0,922.0,723.0,0.0,12.0,757.0,1611.0,364.0,0.0
Eastbourne Herald,0.0,0.0,0.0,0.0,2971.0,3535.0,3327.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Daily Press,0.0,0.0,0.0,0.0,7874.0,0.0,0.0,0.0,1.0,5743.0,7670.0,6620.0,0.0
Eastwood Advertiser,0.0,0.0,1.0,0.0,2414.0,7792.0,8084.0,3.0,3.0,618.0,633.0,0.0,0.0
Echo - Essex News and Sports,0.0,0.0,0.0,0.0,6317.0,6664.0,5445.0,0.0,10.0,2501.0,2520.0,3065.0,0.0
Edgware & Mill Hill Times,0.0,0.0,1.0,0.0,3288.0,4467.0,3287.0,0.0,0.0,3216.0,0.0,0.0,0.0
Ely Standard,0.0,0.0,0.0,0.0,735.0,522.0,819.0,0.0,0.0,584.0,1532.0,1319.0,0.0
Environmental Agency UK,0.0,0.0,0.0,0.0,0.0,9.0,524.0,0.0,1.0,603.0,266.0,111.0,0.0
Epping Forest Guardian,0.0,0.0,0.0,0.0,2947.0,2902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epsom Guardian,0.0,0.0,0.0,0.0,3052.0,3393.0,529.0,34.0,608.0,2532.0,1392.0,872.0,0.0
Essex Chronicle,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,3156.0,3355.0,0.0,0.0
Evening Gazette,0.0,0.0,0.0,0.0,5659.0,5946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Star (Ipswich),0.0,0.0,0.0,6.0,8662.0,11689.0,9697.0,0.0,0.0,2930.0,3708.0,3355.0,215.0
Evening Telegraph,0.0,0.0,0.0,0.0,1441.0,2073.0,2197.0,0.0,0.0,135.0,0.0,0.0,0.0
Express and Star,0.0,0.0,0.0,0.0,0.0,9543.0,14104.0,0.0,0.0,1885.0,1060.0,3716.0,202.0
Farmers Guardian,0.0,0.0,0.0,0.0,2136.0,4489.0,5054.0,1.0,134.0,4363.0,1388.0,1608.0,102.0
Farmers Weekly Interactive,0.0,0.0,0.0,15.0,3493.0,5325.0,6910.0,0.0,6.0,5324.0,3026.0,7.0,0.0
Farming UK,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,0.0,0.0,1053.0,784.0,1545.0,0.0
Food Naviagtor,0.0,0.0,0.0,0.0,1114.0,434.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Navigator,0.0,0.0,0.0,0.0,242.0,301.0,460.0,0.0,0.0,991.0,1390.0,2412.0,127.0
Fruit Net (UK & Germany),0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,1576.0,0.0,0.0,0.0
Gazette & Herald,0.0,0.0,0.0,0.0,932.0,4013.0,534.0,0.0,0.0,1224.0,3742.0,2404.0,0.0
Gazette Live,0.0,0.0,2.0,27.0,4278.0,2.0,2988.0,12.0,251.0,9597.0,2225.0,0.0,0.0
Glasgow Evening Times,0.0,0.0,0.0,0.0,401.0,1143.0,1476.0,0.0,1.0,1388.0,2623.0,0.0,0.0
Gloucestershire County Gazette,0.0,0.0,0.0,0.0,9.0,1544.0,1218.0,0.0,0.0,469.0,185.0,0.0,0.0
Google News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,310.0,2243.0,3779.0,911.0,53.0
Grantham Today,0.0,0.0,0.0,0.0,4837.0,3132.0,2560.0,0.0,0.0,2370.0,679.0,0.0,0.0
Great Yarmouth Mercury 24,0.0,0.0,0.0,0.0,0.0,2295.0,4715.0,0.0,0.0,0.0,0.0,0.0,0.0
Grimsby Telegraph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,1906.0,0.0,0.0
Guardian Series,0.0,0.0,0.0,0.0,0.0,2039.0,10564.0,38932.0,21150.0,7104.0,6238.0,5392.0,0.0
Hackney Gazette,0.0,0.0,7.0,20.0,533.0,1422.0,1420.0,0.0,0.0,929.0,68.0,0.0,0.0
Hampshire Chronicle,0.0,0.0,0.0,43.0,3312.0,3962.0,2504.0,0.0,0.0,776.0,1640.0,1219.0,0.0
Hampstead and Highgate Express,0.0,0.0,0.0,0.0,746.0,1155.0,1135.0,0.0,0.0,370.0,193.0,145.0,42.0
Harborough Mail,0.0,0.0,0.0,0.0,700.0,1119.0,1093.0,0.0,0.0,749.0,890.0,0.0,0.0
Haringey Independent,1.0,4.0,6.0,3.0,19.0,869.0,2434.0,0.0,0.0,2964.0,0.0,0.0,0.0
Harlow Citizen,0.0,0.0,0.0,0.0,587.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrow Times,0.0,161.0,90.0,2.0,2078.0,3543.0,2996.0,118.0,167.0,2852.0,1168.0,957.0,0.0
Hartlepool Mail,1.0,0.0,0.0,1.0,3133.0,5371.0,8592.0,6.0,138.0,9268.0,8893.0,0.0,0.0
Hemel Today,0.0,0.0,0.0,7.0,1984.0,3944.0,9614.0,0.0,0.0,1359.0,2334.0,0.0,0.0
"Hendon & Finchley, Barnet & Potters bar, and Edgeware & Mills hill Times",0.0,0.0,0.0,0.0,6.0,10.0,24.0,50.0,424.0,592.0,896.0,1153.0,0.0
Herald and Post,0.0,0.0,0.0,0.0,6988.0,7478.0,12436.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertferdshire Mercury,0.0,0.0,0.0,0.0,742.0,3271.0,3759.0,0.0,0.0,435.0,963.0,1902.0,0.0
Hexham Courant,0.0,0.0,0.0,13.0,2492.0,1381.0,373.0,0.0,0.0,310.0,463.0,467.0,19.0
Highland News,0.0,0.0,0.0,0.0,1203.0,713.0,1931.0,0.0,0.0,451.0,356.0,246.0,0.0
Hillingdon Times,0.0,0.0,0.0,0.0,3668.0,2441.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
Horncastle News,1.0,0.0,0.0,2.0,6621.0,11978.0,16593.0,2.0,0.0,410.0,819.0,0.0,0.0
